epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1053.34,1.65711,2.1105,1.3817,0.75282,0.64758,0.70906,0.43017,1.2751,1.44085,1.21743,0.00333222,0.00333222,0.00333222
2,2085.94,1.418,1.50986,1.21781,0.76478,0.66896,0.72965,0.45275,1.21147,1.27714,1.1662,0.00653358,0.00653358,0.00653358
3,3116.04,1.42232,1.44876,1.22312,0.80038,0.70239,0.76125,0.48076,1.18882,1.24167,1.16026,0.00960293,0.00960293,0.00960293
4,4136.92,1.38631,1.3818,1.21194,0.84639,0.77433,0.83396,0.55933,1.11043,1.02206,1.12539,0.009406,0.009406,0.009406
5,5151.82,1.29697,1.23002,1.16383,0.85757,0.7814,0.85078,0.58591,1.05563,0.94371,1.08809,0.009208,0.009208,0.009208
6,6170.56,1.24449,1.14675,1.13805,0.85052,0.79361,0.85418,0.59105,1.02681,0.90799,1.07333,0.00901,0.00901,0.00901
7,7192.3,1.20411,1.08849,1.12068,0.88913,0.82995,0.88588,0.62301,0.99349,0.82542,1.05868,0.008812,0.008812,0.008812
8,8214.58,1.18078,1.04744,1.10748,0.88143,0.8454,0.89517,0.63368,0.97655,0.78413,1.04291,0.008614,0.008614,0.008614
9,9234.13,1.16328,1.02084,1.09969,0.89393,0.85123,0.90311,0.64975,0.95898,0.76748,1.03618,0.008416,0.008416,0.008416
10,10263.2,1.13984,0.98794,1.08918,0.90228,0.8555,0.9099,0.65684,0.94608,0.7326,1.02969,0.008218,0.008218,0.008218
11,11287.7,1.12037,0.96801,1.08101,0.89156,0.84991,0.9056,0.64297,0.94087,0.74522,1.02481,0.00802,0.00802,0.00802
12,12308.2,1.11113,0.94725,1.07328,0.90005,0.86304,0.91448,0.66964,0.91778,0.70722,1.01796,0.007822,0.007822,0.007822
13,13329.7,1.09742,0.93353,1.06714,0.90629,0.86843,0.92085,0.68196,0.91008,0.69153,1.01043,0.007624,0.007624,0.007624
14,14352.7,1.0864,0.92244,1.06498,0.91076,0.87143,0.92311,0.68251,0.90229,0.67863,1.00645,0.007426,0.007426,0.007426
15,15377.4,1.0714,0.90385,1.05741,0.90769,0.87526,0.92403,0.68081,0.89785,0.67957,1.0016,0.007228,0.007228,0.007228
16,16400.8,1.0674,0.8901,1.05455,0.91091,0.87776,0.92655,0.68973,0.88796,0.66814,0.99769,0.00703,0.00703,0.00703
17,17429.9,1.054,0.87922,1.04842,0.91053,0.87974,0.92821,0.69354,0.8816,0.65888,0.9946,0.006832,0.006832,0.006832
18,18460,1.04686,0.86636,1.04726,0.90873,0.88159,0.92928,0.69586,0.87798,0.65636,0.99259,0.006634,0.006634,0.006634
19,19485.2,1.03726,0.85704,1.04187,0.91266,0.88274,0.93091,0.69928,0.87303,0.65089,0.99013,0.006436,0.006436,0.006436
20,20506,1.02398,0.84782,1.03782,0.91485,0.88465,0.93175,0.70017,0.86948,0.64682,0.98842,0.006238,0.006238,0.006238
